I	F	T
181609	507.68	374
659454	476.63	314
929973	484.13	294
334831	516.57	674
680786	484.29	510
957353	501.72	538
839921	533.56	674
905078	463.92	430
32013	539.99	602
218634	529.42	578
130358	573.69	602
984767	516.71	586
700621	524.9	686
388599	533.41	598
85105	512.07	346
412310	510.64	834
28472	531.54	854
126164	464.28	322
643830	515.08	526
536472	484.59	414
855933	486.1	446
980157	497.03	562
440671	498.07	550
493631	526.33	666
987938	494.32	430
176316	499.53	270
554972	537.85	642
535320	476.7	554
686838	560.1	578
667167	518.98	506
554136	459.9	382
21632	502.58	406
500939	461.14	390
347538	511.89	458
756786	548.7	634
899767	467.13	406
95106	533.3	806
599582	527.36	570
241403	486.85	478
970773	494.37	306
976761	489.04	446
578517	512.0	442
601880	491.94	458
590438	442.42	374
380584	507.53	542
557845	520.83	662
477096	540.34	506
286867	516.05	694
698719	509.31	482
816597	556.93	630
636306	520.82	702
787953	492.49	446
58963	521.83	510
4819	536.05	618
751753	539.93	646
810930	520.68	434
167486	452.13	322
747684	534.4	570
507348	551.02	614
372795	478.5	370
425107	518.15	614
87828	487.45	346
807413	492.1	558
777645	484.23	494
21991	572.27	590
180478	556.55	678
166607	491.92	386
614354	498.07	498
259873	508.45	502
1120	524.88	602
910824	482.63	446
832818	512.95	622
666040	526.97	582
34497	516.25	582
